#TYPE Microsoft.PowerShell.Commands.HistoryInfo
"Id","CommandLine","ExecutionStatus","StartExecutionTime","EndExecutionTime"
"1","Update-Help","Completed","7/21/2015 12:24:00 PM","7/21/2015 12:24:03 PM"
"2","cls","Completed","7/21/2015 12:29:44 PM","7/21/2015 12:29:44 PM"
"3","get-NetIPConfiguration","Completed","7/21/2015 12:29:58 PM","7/21/2015 12:30:00 PM"
"4","get-NetIPConfiguration |GM","Completed","7/21/2015 12:30:05 PM","7/21/2015 12:30:05 PM"
"5","help Get-Member","Completed","7/21/2015 12:33:14 PM","7/21/2015 12:33:38 PM"
"6","get-NetIPConfiguration | Get-Member","Completed","7/21/2015 12:33:49 PM","7/21/2015 12:33:49 PM"
"7","Get-NetIPConfiguration -ComputerName DC01 | Select-Object ComputerName,DNSServer","Completed","7/21/2015 12:34:37 PM","7/21/2015 12:34:37 PM"
"8","Get-NetIPConfiguration -ComputerName DC01 | Select-Object ComputerName,DNSServer|Format-List","Completed","7/21/2015 12:34:50 PM","7/21/2015 12:34:51 PM"
"9"," cld","Completed","7/21/2015 12:35:28 PM","7/21/2015 12:35:28 PM"
"10","Get-NetIPAddress","Completed","7/21/2015 12:35:33 PM","7/21/2015 12:35:33 PM"
"11","Get-NetIPAddress | get-member","Completed","7/21/2015 12:35:45 PM","7/21/2015 12:35:45 PM"
"12","cls","Completed","7/21/2015 12:40:06 PM","7/21/2015 12:40:06 PM"
"13","get-command ","Completed","7/21/2015 12:42:06 PM","7/21/2015 12:42:10 PM"
"14","get-command|more","Stopped","7/21/2015 12:42:26 PM","7/21/2015 12:42:50 PM"
"15","help get-command -full","Stopped","7/21/2015 12:43:12 PM","7/21/2015 12:44:01 PM"
"16","get-command -Type Cmdlet","Completed","7/21/2015 12:44:09 PM","7/21/2015 12:44:10 PM"
"17","get-command -Type Cmdlet -verb Set","Completed","7/21/2015 12:44:26 PM","7/21/2015 12:44:26 PM"
"18","get-command -Type Cmdlet -verb Write","Completed","7/21/2015 12:44:35 PM","7/21/2015 12:44:35 PM"
"19","get-command -Type function -verb new","Completed","7/21/2015 12:45:03 PM","7/21/2015 12:45:03 PM"
"20","cls","Completed","7/21/2015 12:45:19 PM","7/21/2015 12:45:19 PM"
"21","Help get-command","Completed","7/21/2015 12:46:03 PM","7/21/2015 12:46:11 PM"
"22","Help get-command -Examples","Stopped","7/21/2015 12:46:21 PM","7/21/2015 12:46:34 PM"
"23","get-command -verb New","Completed","7/21/2015 12:46:43 PM","7/21/2015 12:46:44 PM"
"24","get-command -noun *DNS*","Completed","7/21/2015 12:47:03 PM","7/21/2015 12:47:03 PM"
"25","cls","Completed","7/21/2015 12:48:52 PM","7/21/2015 12:48:52 PM"
"26","help get-command","Completed","7/21/2015 12:49:35 PM","7/21/2015 12:49:45 PM"
"27"," cls","Completed","7/21/2015 12:49:51 PM","7/21/2015 12:49:51 PM"
"28","help get-command","Completed","7/21/2015 12:50:07 PM","7/21/2015 12:50:58 PM"
"29","cls","Completed","7/21/2015 12:52:06 PM","7/21/2015 12:52:07 PM"
"30","help get-command","Completed","7/21/2015 12:52:41 PM","7/21/2015 12:52:53 PM"
"31","cls","Completed","7/21/2015 12:52:55 PM","7/21/2015 12:52:55 PM"
"32","help get-command","Completed","7/21/2015 12:53:24 PM","7/21/2015 12:53:52 PM"
"33","help get-command -examples","Stopped","7/21/2015 12:53:57 PM","7/21/2015 12:54:04 PM"
"34","get-commands","Completed","7/21/2015 12:54:08 PM","7/21/2015 12:54:08 PM"
"35","get-command","Completed","7/21/2015 12:54:11 PM","7/21/2015 12:54:16 PM"
"36","get-command -type cmdlet","Completed","7/21/2015 12:54:31 PM","7/21/2015 12:54:33 PM"
"37","get-command -verb New","Completed","7/21/2015 12:55:00 PM","7/21/2015 12:55:00 PM"
"38","cls","Completed","7/21/2015 12:55:18 PM","7/21/2015 12:55:18 PM"
"39","get-command -name *IP* | more","Stopped","7/21/2015 12:55:39 PM","7/21/2015 12:56:12 PM"
"40","get-command -name *IP* -module Net*","Completed","7/21/2015 12:56:31 PM","7/21/2015 12:56:31 PM"
"41","get-command -name *IP* -module NetTCPIP","Completed","7/21/2015 12:56:42 PM","7/21/2015 12:56:42 PM"
"42","cls","Completed","7/21/2015 1:17:11 PM","7/21/2015 1:17:11 PM"
"43","help get-command ","Completed","7/21/2015 1:18:20 PM","7/21/2015 1:18:44 PM"
"44","cls","Completed","7/21/2015 1:19:00 PM","7/21/2015 1:19:00 PM"
"45","help get-command -examples","Stopped","7/21/2015 1:19:25 PM","7/21/2015 1:19:49 PM"
"46","cls","Completed","7/21/2015 1:19:54 PM","7/21/2015 1:19:54 PM"
"47","get-command -type cmdlet","Completed","7/21/2015 1:20:04 PM","7/21/2015 1:20:06 PM"
"48","get-command -verb New","Completed","7/21/2015 1:20:20 PM","7/21/2015 1:20:21 PM"
"49","get-command -name *IP* |more","Stopped","7/21/2015 1:21:18 PM","7/21/2015 1:21:54 PM"
"50","get-command -name *IP* -module NETTCPIP | mORe","Completed","7/21/2015 1:22:08 PM","7/21/2015 1:22:08 PM"
"51","help Get-NetIPConfiguration | More","Completed","7/21/2015 1:23:19 PM","7/21/2015 1:23:26 PM"
"52","Get-NetIPConfiguration","Completed","7/21/2015 1:23:33 PM","7/21/2015 1:23:34 PM"
"53","cls","Completed","7/21/2015 1:24:36 PM","7/21/2015 1:24:36 PM"
